epoch,loss,mse,val_loss,val_mse
0,0.3339548408985138,0.3339548408985138,0.7965277433395386,0.7965277433395386
1,0.22581179440021515,0.22581179440021515,0.4862489700317383,0.4862489700317383
2,0.15775741636753082,0.15775741636753082,0.23305603861808777,0.23305603861808777
3,0.11637934297323227,0.11637934297323227,0.21982474625110626,0.21982474625110626
4,0.1405487060546875,0.1405487060546875,0.18380767107009888,0.18380767107009888
5,0.11371688544750214,0.11371688544750214,0.174478217959404,0.174478217959404
6,0.11790864914655685,0.11790864914655685,0.17782457172870636,0.17782457172870636
7,0.090157151222229,0.090157151222229,0.15491150319576263,0.15491150319576263
8,0.08123776316642761,0.08123776316642761,0.16859498620033264,0.16859498620033264
9,0.09110140800476074,0.09110140800476074,0.12390528619289398,0.12390528619289398
10,0.09134751558303833,0.09134751558303833,0.10470972955226898,0.10470972955226898
11,0.07568487524986267,0.07568487524986267,0.13250382244586945,0.13250382244586945
12,0.07691153138875961,0.07691153138875961,0.08871792256832123,0.08871792256832123
13,0.06930749863386154,0.06930749863386154,0.07726126909255981,0.07726126909255981
14,0.05684638023376465,0.05684638023376465,0.09320621192455292,0.09320621192455292
15,0.06290366500616074,0.06290366500616074,0.05512985959649086,0.05512985959649086
16,0.07006783783435822,0.07006783783435822,0.05652020871639252,0.05652020871639252
17,0.07020466029644012,0.07020466029644012,0.03716413304209709,0.03716413304209709
18,0.043439190834760666,0.043439190834760666,0.06169803813099861,0.06169803813099861
19,0.05695090815424919,0.05695090815424919,0.08384540677070618,0.08384540677070618
20,0.06835199147462845,0.06835199147462845,0.06211258843541145,0.06211258843541145
21,0.061129242181777954,0.061129242181777954,0.062128979712724686,0.062128979712724686
22,0.06252957135438919,0.06252957135438919,0.04836253821849823,0.04836253821849823
23,0.05959415063261986,0.05959415063261986,0.05825271084904671,0.05825271084904671
24,0.045364707708358765,0.045364707708358765,0.047924913465976715,0.047924913465976715
25,0.05280999466776848,0.05280999466776848,0.049424655735492706,0.049424655735492706
